Location,Indoor,Lat,Lng
Arrowhead Stadium,FALSE,39.048889,-94.483889
AT&T Stadium,TRUE,32.747778,-97.092778
Bank of America Stadium,FALSE,35.225833,-80.852778
Broncos Stadium at Mile High,FALSE,39.743889,-105.02
CenturyLink Field,FALSE,47.5952,122.3316
Dignity Health Sports Park,FALSE,33.864,-118.261
FedEx Field,FALSE,38.907778,-76.864444
FirstEnergy Stadium,FALSE,41.506111,-81.699444
Ford Field,TRUE,42.34,-83.045556
Gillette Stadium,FALSE,42.090944,-71.264344
Hard Rock Stadium,FALSE,25.958056,-80.238889
Heinz Field,FALSE,40.446667,-80.015833
Lambeau Field,FALSE,44.501389,-88.062222
Levi's Stadium,FALSE,37.403,-121.97
Lincoln Financial Field,FALSE,39.900833,-75.1675
Los Angeles Memorial Coliseum,FALSE,34.014167, -118.287778
Lucas Oil Stadium,TRUE,39.760056,-86.163806
M&T Bank Stadium,FALSE,39.278056,-76.622778
Mercedes-Benz Stadium,TRUE,33.755429,-84.401067
Mercedes-Benz Superdome,TRUE,29.950833,-90.081111
MetLife Stadium,FALSE,40.813528,-74.074361
New Era Field,FALSE,42.774,-78.787
Nissan Stadium,FALSE,36.166389,-86.771389
NRG Stadium,TRUE,29.684722,-95.410833
Oakland-Alameda County Coliseum,FALSE,37.751667,-122.200556
Paul Brown Stadium,FALSE,39.095,-84.516
Raymond James Stadium,FALSE,27.975833,-82.503333
Soldier Field,FALSE,41.8623,-87.6167
State Farm Stadium,TRUE,33.5275,-112.2625
TIAA Bank Field,FALSE,30.323889,-81.6375
US Bank Stadium,TRUE,44.974,-93.258
Wembley Stadium,FALSE,51.555833,-0.279722